ID,Type,Case,Floor,N_i,Vy_i,Vz_i,T_i,My_i,Mz_i,N_j,Vy_j,Vz_j,T_j,My_j,Mz_j
E1_193,viga,C3,CIELO_3,0.05734242493132777,1.7425178653927749,0.7960666544691182,-3.247446798708191,0.6888092141420853,0.27204608929553875,-0.05734242493132777,-1.7425178653927749,-0.7960666544691182,-3.837546426066961,-0.6888092141420853,0.23830149259327837
E1_194,viga,C1,CIELO_3,0.32242743993812967,1.6029183445500876,-0.5607968673464597,2.4554980455221926,-1.7946946724355661,1.1283678857377628,-0.32242743993812967,-1.6029183445500876,0.5607968673464597,1.6102792427396402,1.7946946724355661,1.2092310538136775
E1_194,viga,C2,CIELO_3,0.32242743993812967,1.6029183445500876,-0.5607968673464597,2.4554980455221926,-1.7946946724355661,1.1283678857377628,-0.32242743993812967,-1.6029183445500876,0.5607968673464597,1.6102792427396402,1.7946946724355661,1.2092310538136775
E1_194,viga,C3,CIELO_3,0.32242743993812967,1.6029183445500876,-0.5607968673464597,2.4554980455221926,-1.7946946724355661,1.1283678857377628,-0.32242743993812967,-1.6029183445500876,0.5607968673464597,1.6102792427396402,1.7946946724355661,1.2092310538136775
E1_195,viga,C1,CIELO_4,0.3156073408631783,-0.667419883002064,-0.6724230403537228,1.4341618344728861,-0.4129083900010051,0.09454160402497447,-0.3156073408631783,0.667419883002064,0.6724230403537228,-1.4341618344728861,2.127587142902996,-1.7964623056802358
E1_195,viga,C2,CIELO_4,0.3156073408631783,-0.667419883002064,-0.6724230403537228,1.4341618344728861,-0.4129083900010051,0.09454160402497447,-0.3156073408631783,0.667419883002064,0.6724230403537228,-1.4341618344728861,2.127587142902996,-1.7964623056802358
E1_195,viga,C3,CIELO_4,0.3156073408631783,-0.667419883002064,-0.6724230403537228,1.4341618344728861,-0.4129083900010051,0.09454160402497447,-0.3156073408631783,0.667419883002064,0.6724230403537228,-1.4341618344728861,2.127587142902996,-1.7964623056802358
E1_196,viga,C1,CIELO_4,0.2051677471771219,-0.9517177806326453,1.8632992491015055,0.6109932471358854,-3.237307527550031,-0.6708268913255842,-0.2051677471771219,0.9517177806326453,-1.8632992491015055,-0.6109932471358854,-1.3277756327486627,-1.6608816712243997
E1_196,viga,C2,CIELO_4,0.2051677471771219,-0.9517177806326453,1.8632992491015055,0.6109932471358854,-3.237307527550031,-0.6708268913255842,-0.2051677471771219,0.9517177806326453,-1.8632992491015055,-0.6109932471358854,-1.3277756327486627,-1.6608816712243997
E1_196,viga,C3,CIELO_4,0.2051677471771219,-0.9517177806326453,1.8632992491015055,0.6109932471358854,-3.237307527550031,-0.6708268913255842,-0.2051677471771219,0.9517177806326453,-1.8632992491015055,-0.6109932471358854,-1.3277756327486627,-1.6608816712243997
E1_197,viga,C1,CIELO_4,0.740178226893307,0.1055954818558948,-7.87247426437129,-0.5356127206156576,6.3371526890040375,0.9818124671109675,-0.740178226893307,-0.1055954818558948,7.87247426437129,0.5356127206156576,13.737656685142728,-0.712543988378436
E1_197,viga,C2,CIELO_4,0.740178226893307,0.1055954818558948,-7.87247426437129,-0.5356127206156576,6.3371526890040375,0.9818124671109675,-0.740178226893307,-0.1055954818558948,7.87247426437129,0.5356127206156576,13.737656685142728,-0.712543988378436
E1_197,viga,C3,CIELO_4,0.740178226893307,0.1055954818558948,-7.87247426437129,-0.5356127206156576,6.3371526890040375,0.9818124671109675,-0.740178226893307,-0.1055954818558948,7.87247426437129,0.5356127206156576,13.737656685142728,-0.712543988378436
E1_198,viga,C1,CIELO_4,-0.7628856823482081,0.554282309613104,0.2816906305077745,-0.3766549770127323,-3.5979518530318213,0.8118466109678049,0.7628856823482081,-0.554282309613104,-0.2816906305077745,0.3766549770127323,2.907809808287773,0.5461450475843014
E1_198,viga,C2,CIELO_4,-0.7628856823482081,0.554282309613104,0.2816906305077745,-0.3766549770127323,-3.5979518530318213,0.8118466109678049,0.7628856823482081,-0.554282309613104,-0.2816906305077745,0.3766549770127323,2.907809808287773,0.5461450475843014
